"name","link","values_string"
Brand_Disney+Hotstar_Mar10_myAISnoti,LJHOeQQSx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FmlHJqwJIo?cid=myais_push-DisneyMarEN-mar10-conversion
Brand_Line_Disney,"0WH8y6ji8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FbnHAzmzcV?cid=myais_push-DisneyAPR-APR12-conversion
Cake Swiper,CakeLineMsg,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,CakeMMS2,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,CakeMMSinact,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,Cakemybanner,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,Cakemypushnoti,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,CakeWWW,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Cake Swiper,TDPrivi,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcakeswiper
Calendar myAIS Flash,"1WHOAeVcO",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,"6yH87xAh8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,ApH8Rv6I8,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,bnHo8PZiV,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
calendar package x3 to myais,"9WH47YjSG",https://myais.ais.co.th/openMyAISApp?scheme=Home
calendar package x3 to myais,epHO4GBIY,https://myais.ais.co.th/openMyAISApp?scheme=ExtraPack
calendar package x3 to myais,WxHQrZVHB,https://myais.ais.co.th/openMyAISApp?scheme=ExtraPack
calendar package x3 to myais,xxHZAZyF2,https://myais.ais.co.th/openMyAISApp?scheme=ExtraPack
calendar package x3 to myais,xxHZwqYf2,https://myais.ais.co.th/openMyAISApp?scheme=ExtraPack
Central 5 15 25,everydayspecialcoupon,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FTodayCoupon
Central 5 15 25,rxHn8JOtJ,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FTodayCoupon
Chinese new year free 1gb,"3bHedaWS8",https://myais.ais.co.th
Chinese new year free 1gb,"4RHA644c8",https://myais.ais.co.th
Chinese new year free 1gb,qxH9OYbIO,https://myais.ais.co.th
civr_info_aispoint,KYHGOxesx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FLive360?cid=ivr_sms-civr_info_aispoint-apr22
civr_info_online_topup,aWHgBzeTM,https://myais.ais.co.th/openMyAISApp?scheme=TopUp?cid=ivr_sms-civr_info_online_topup-apr22
Coin Blaster,Coinemag,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dcoinblaster
Coin Blaster,CoinInter,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dcoinblaster
Coin Blaster,CoinLineMsg,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dcoinblaster
Coin Blaster,CoinMMSinact,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dcoinblaster
Cupid Matcher Free Play,CupidEmag,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcupidmatcherfreeplay
Cupid Matcher Free Play,CupidFB,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcupidmatcherfreeplay
Cupid Matcher Free Play,CupidLineMsg,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcupidmatcherfreeplay
Cupid Matcher Free Play,CupidLineTL,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcupidmatcherfreeplay
Cupid Matcher Free Play,CupidMissionAd,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcupidmatcherfreeplay
Cupid Matcher Free Play,CupidNoti,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcupidmatcherfreeplay
Deep Link Gamification AIS30Y for Organic Media,EKHKj2nIy,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
Deep Link Gamification AIS30Y for Organic Media,KYHodwxtx,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
Deep Link Gamification AIS30Y for Organic Media,wxHQDplI1,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
Deep Link Gamification AIS30Y for Organic Media,YyHDEG1SE,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
Deep Link Line Sticker category_New myAIS App,ApHnlp7s8,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
Deep Link Line Sticker category_New myAIS App,MYHdVyjcd,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
Deep Link Line Sticker category_New myAIS App,yGHYox8CE,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
Deep Link premium delivery category_New myAIS App,"8yHeqznUO",https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
Deep Link premium delivery category_New myAIS App,epHdrn4sY,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
Deep Link premium delivery category_New myAIS App,n1HbOMJCq,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
Deep Link premium delivery category_New myAIS App,rxHBZyyiJ,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
Deep Link premium delivery category_New myAIS App,VYHn0a8T9,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
Deep Link premium delivery category_New myAIS App,ZyHQ7qGc6,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
Deep Link The One Card category_New myAIS App,"1WHbPv2tO",https://myais.ais.co.th/openMyAISApp?scheme=Webview%3Furl%3Dhttps%253A%252F%252Fmyais.ais.co.th%252Fservices%252Fencrypt-text%252FPOST%252FAISPOINT%252FcallbackToken%253Fpage%253DtransferPoint%25252FtransferCard%2526channel%253DMYAISAPP%2526isFromMobile%253DY%2526lang%253DTH
deep link to AIS Points on myAIS APP,mlHbAjwUo,https://myais.ais.th/openAppToApp?URI=myais%3A%2F%2FHome
Deep link Today Coupons for Organic Media_30thY,ApHnQeQU8,https://myais.ais.co.th/openMyAISApp?scheme=TodayCoupon
Deep link Today Coupons for Organic Media_30thY,MYHdgbycd,https://myais.ais.co.th/openMyAISApp?scheme=TodayCoupon
Deep link Today Coupons for Paid Media_30thY,MYHdgYGId,https://myais.ais.co.th/openMyAISApp?scheme=TodayCoupon
Deeplink menu on myAIS,aWHg8ZrfM,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FPrivilegeList%3Ftype%3Dpoint%26id%3D11
Deeplink menu on myAIS,EKH8mV4fy,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FPrivilegeList%3Ftype%3Dpoint%26id%3D10
Deeplink menu on myAIS,epHDyzyhY,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FPrivilegeList%3Ftype%3Dpoint%26id%3D16
Deeplink menu on myAIS,KYHGlVRFx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FPrivilegeList%3Ftype%3Dpoint%26id%3D525
Deeplink myAIS หน้าสิทธิพิเศษ Privileges,"8yHdm3OIO",https://myais.ais.co.th/openMyAISApp?scheme=Live360
Deeplink myAIS หน้าสิทธิพิเศษ Privileges,d6Hwpa6tq,https://myais.ais.co.th/openMyAISApp?scheme=Live360
Deeplink myAIS หน้าสิทธิพิเศษ Privileges,zGH6WBzhZ,https://myais.ais.co.th/openMyAISApp?scheme=Live360
"30thAIS_AISPoints_Oct20",gaH82b6C3,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
"30thAIS_AISPoints_Oct20",GAHoLWJFP,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
"5G Flexi Service","5GFLEXI",https://myais.ais.co.th/services/net-flexi
Account linking for wongnai & News,"9WHGm9YUG",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,MYHw84jud,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,oZHJMxJC4,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,pLHwbnJFZ,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,PYHpvBbUo,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,RbH9zQDIE,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,wxHmawpt1,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,xxHRj4PC2,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,zGHPwdwSZ,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account linking Starbucks,YyHBaB6sE,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking_Bangchak,j7HAnqjuo,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking_KOL FB 4 เพจ,d6HKbDEuq,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking_KOL FB 4 เพจ,RbHbKBbcE,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Agent_Download_FBB,oZH1ZQli4,https://myais.ais.co.th/openMyAISApp?scheme=Home
AIS Points Campaign NOV2020,"1WHbxKncO",https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,"2WHbR7jfQ",https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,"3bHvnyqu8",https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,EKHKrdKty,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,yGHYe26TE,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Line sticker jan 2021,RbH28MyCE,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
AISShop Robot Point_Reward Misterdonut2020,QYHbOelTx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FLive360
All Game New Year 2021,AllGame22,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameBanner,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameEmag,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllgameMMS2,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameNYeMag,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameTDPri,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,emagazineNYAllgame,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,GameNYLineRich,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,MMS1AllGame,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game Revise,wxH9AE4f1,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
APB-TGM Deeplink-Jan22,"1WHY8BrHO",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FZyHKL7AI6
APB-TGM Deeplink-Jan22,J1HJdQBtx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2F6yHMwRAU8
APB-TGM Deeplink-Jan22,KYHyqWbTx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FWebview%3Furl%3Dhttps%3A%2F%2Fm.ais.co.th%2FQYHz73rCx
APB-TMGmyAIS-Dec21,BBHB3LnI8,https://myais.ais.co.th/login?cid=line_home-TMGmyAIS-dec21-
APB-TMGmyAIS-Dec21,oZHpQqxf4,https://myais.ais.co.th/login?cid=twt_organic-TMGmyAIS-dec21-
Aunjai Check In,CheckInEmag,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcheckin
Aunjai Check In,CheckInMMSInact,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcheckin
Aunjai Check In,CheckInmyNoti,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification%3Fmenu%3Dcheckin
Bootshop_applyeBill,"6yHdm17U8",https://myais.ais.co.th/openMyAISApp?scheme=eBill
